Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,-1.7249083,0.004092611,-0.451305699,-0.790154595,-0.226782008,-0.158211153,0.495492664,1.14021873,-0.409852411,-0.467752498,-0.240103337,-0.557332032,-0.57026437,-0.121351074,-0.306169571,-0.425671571,0.214136054,-0.493707947,-0.610959926,-0.315560672,0.410974812,-0.822441471,0.54903786,-0.187697428,-0.354328481,-0.145572277,-0.267626985,-0.669758403,-0.210065148,0.192606525,-0.376925297,-0.399977073,-0.2364682,-0.212980241,1.015238647,-0.749467042,-0.640158244,0.042268242,2.098886053,-1.254989131,-0.251414508,0.122111865,-0.315750247,-0.394011366,-0.161781869,-0.635562971,0.912424872,-0.795274045,-0.997736334,-0.489588869,-0.264440456,-0.235295135,-0.405697425,-0.47029574,-0.024173239,-0.687595048,-0.201243365,0.16066063,-0.488519472,-0.462256353,1.651136794,-0.428282118,-0.12326783,-0.172366086,-0.462411429,-0.323448747,-0.37078665,-0.171440659,0.124726432,0.329726383,1.285414575,-0.795187764,-0.21119023,-0.325667364,0.30449003,-0.72646273,0.183921489,-0.034129502,-0.210707717,-0.275946406,-0.72923738,0.070727495,-0.312196574,-0.188680293,-0.591163966,0.953186294,-0.744075456,-0.349445336,2.056218909,1.497503425,2.961513931,-0.400713976,2.706421358,-0.46756948,-0.603505977,0.64440721,-0.642238779,-0.666006922,-0.291205136,-0.196890006,-0.064415663,-0.538642341,-0.841199754,-0.101503327,-1.035265105,0.087130823,-0.11927738,-0.124036296,-0.410884836,1.410643285,-0.549319043,0.117555943,-1.041706739,2.184531857,-0.116940499,-0.240343858,-0.568818222,0.363520743,-0.307583643,-0.040184013,-0.296429654,-0.725913567,-0.132983304,-0.268763553,0.519833482,-0.342173307,-1.494992838,-0.32272344,-0.343323568,-0.475653302,-0.33037902,-0.137756617,-0.823643658,0.371210674,-0.234126391,-0.924020864,-0.805581963,-0.076651208,0.530680488,-0.070181986,0.403440438,-1.097055451,-0.269164592,-0.307093981,0.189818584,-0.368417496,-0.268433254,-0.866682321,-0.205770727,0.944096086,-0.297614025,0.33277221,1.332229474,0.056752159,-0.3740691,-0.52533365,-0.413112935,-0.636018274,0.501622264
0,-1.710593708,-0.022046154,0.717233621,-0.61985158,-0.323150508,-0.158234812,-0.580141896,0.154079532,-0.063716722,0.177059937,-0.132511945,-0.132469712,-0.079480656,-0.008265556,-0.565643285,1.810980476,1.339639289,-0.1955026,0.1322776,-0.426564822,-0.314138697,0.319279231,-0.314476441,-0.096089929,-0.295206755,-0.145572277,-0.250625663,0.008410825,2.381168989,0.00089494,-0.124638988,-0.401956512,0.425544318,-0.241266836,1.009017039,0.143414613,-0.31735044,-0.296305088,-0.633990627,0.123194434,2.200317678,-0.211409005,-0.360052213,-0.26207616,-0.156447941,1.740928286,-0.784837231,-0.609748154,-0.354185579,-0.449403221,0.671300231,0.055759399,0.2154787,1.660134106,0.69776507,-0.767064029,2.451695845,-0.988241243,-0.077637256,-1.122709391,-0.050558589,3.734000553,-0.118606489,-0.236820418,-0.412884226,-0.483427744,-0.487029297,0.525775213,0.17068743,2.286479741,0.445820153,1.030145924,-0.243566642,1.856466382,-0.516621106,-0.041256003,-0.53684716,0.095908117,-0.190455685,-0.56321354,0.546481923,-0.452398746,-0.312196574,-0.188680293,-0.265433128,-0.717535311,1.215747528,-0.517065634,-0.430268103,0.181455059,0.173051266,0.102483412,0.048301272,-0.46756948,2.788117488,0.771259765,0.642866287,0.498191797,-0.741091154,0.068137184,-0.064415663,0.567324895,0.890672579,0.008711501,0.167322441,0.264488208,-0.112990971,-0.120236016,-0.76289056,-0.465865059,0.361186342,-0.764248983,0.384560607,0.117820945,-0.215948955,-0.206440493,0.453301588,-0.374566977,0.226417122,-0.455328989,-0.274079101,0.963996489,-0.171918176,-0.071347881,0.079639465,2.652509345,-0.750838094,-0.15470301,0.293161487,1.106270353,1.777679675,0.093167612,0.526190155,0.309542408,-0.197619398,0.628647514,4.472121729,-0.301278865,-0.076929598,-0.070181986,0.07818266,1.285140461,-0.281031281,0.480205636,-0.047443135,9.129075628,-0.135006017,-0.38226074,-0.582013394,-0.343366618,-0.273834085,-1.026782709,0.497716537,-0.590724123,-0.3740691,0.067159995,0.629074615,0.316911926,-0.208167209
0,-1.696279116,-0.5528346,-0.962991729,-0.899204674,-0.217746002,-0.780286886,0.398013098,0.619792498,-0.393864904,-0.193399405,-0.234101356,-0.566679218,-0.619236158,-0.625999177,-0.451982882,-0.510806513,-1.411126158,-0.515616954,-0.526996735,-0.399082611,-0.410548393,-1.101541664,-0.489822193,0.818840709,0.010502245,-0.145572277,-0.267626985,-0.742066859,-0.336893169,-0.535839897,-0.417747609,-0.463526958,-0.102778105,-0.319722896,3.63490757,-0.788999096,-0.792261608,-0.168450093,-0.952244584,0.332228893,-0.255078497,0.511082762,-0.360052213,-0.474167714,-0.161781869,1.215186945,0.055258359,1.370955259,-0.5219464,2.021151946,0.514444987,0.009605961,-0.317107771,-0.429256835,-0.819041799,-0.85581048,0.574136638,0.850065747,-0.488519472,0.161046947,1.094412119,-0.410857625,-0.117752926,-0.587894918,-0.47688914,-0.746316709,3.384837077,-0.173102331,0.331871466,-0.142055205,0.750155511,-0.616697117,-0.24322601,-0.364281291,-0.624373198,-0.318016788,-0.497512131,-0.722323228,-0.22744034,-0.433394927,-0.591371326,-0.293678744,-0.312196574,-0.188680293,0.550181324,0.93318774,-0.842587549,-0.886382091,0.568403939,-0.609546076,0.307434161,-0.965691665,-0.031567839,-0.46756948,-0.60802485,1.508786802,-0.743601526,-0.78089223,-0.862768334,-0.230758499,-0.064415663,-0.635779971,-0.631496785,-0.166889416,-1.271907725,-0.580469326,-0.11927738,-0.124185178,-0.322462905,0.080475861,-0.001455634,-0.231271646,-0.296130343,0.32694592,2.298376954,-0.240730334,-0.548743952,-0.730670153,-0.258985576,1.046878078,0.820112282,-0.771060358,-0.17471288,-0.284711882,-0.921378999,-0.56018363,-0.242732459,0.048318413,-0.3577625,-0.649965968,-0.556441652,-0.328397385,-0.794815791,0.180055965,-0.687845161,-1.003509427,-0.74259687,-0.358575041,-0.538533081,-0.070181986,-0.566222047,-1.038528318,-0.513912276,1.353795792,-1.030975538,-0.412974061,-0.3594074,-0.671398089,0.073322038,0.752999794,0.014836306,-1.38006534,-0.003759482,0.051640428,1.584094825,-0.283209498,-1.256837595,-0.605054953,0.449404647
0,-1.681964524,-0.72761109,2.260423899,0.146791749,0.474707045,2.159667702,-0.520875102,-0.358881348,-0.038749459,-0.35681292,2.862005945,0.313562718,-0.076773021,0.00174239,1.758908295,-0.000504952,-1.207192469,-0.037621047,-0.636475123,0.026679341,-0.441427644,0.068318154,-0.54215193,-0.246113335,-0.097772434,-0.145572277,0.778101799,-0.605893652,0.137531723,3.297239797,1.529009101,-0.13019935,-0.002700417,-0.367293424,1.169030189,-0.561374647,2.331053597,1.420514554,-0.110517724,-0.162758643,-0.246694873,-0.493840965,-0.269813524,-0.107849017,-0.161781869,-0.842432152,0.458443964,0.253234758,0.587623483,-0.506442611,-0.837089264,0.477280125,0.345490965,-0.176721658,1.551325504,-0.180370473,-0.72334173,-0.531230099,-0.346536921,-0.172619221,-0.261584044,-0.49658371,-0.12326783,3.397101194,-0.196737421,-0.676968946,0.070521172,0.097247573,-0.458608116,2.16159355,-0.901200744,0.191158402,-0.059276616,-0.045566846,-0.177178662,-0.280834329,0.80514786,-0.734936518,-0.22744034,-0.730731095,0.43994314,0.928389844,0.913426963,-0.188680293,0.096461636,-1.205993064,5.25343636,-0.294710284,1.272855044,2.499377955,-0.0201374,-0.23379596,-0.170641514,-0.46756948,0.519651772,0.073894331,0.302582981,0.030276357,-1.300886047,-0.224068934,-0.064415663,-0.394450202,-0.239448996,-0.002823714,-0.68959806,-0.429496143,-0.119110279,-0.124033549,0.718773072,-0.077119887,0.347817385,-0.442400852,0.681589259,0.80757467,2.604759193,-0.227016588,2.487528343,-0.941150631,-0.269731813,-0.567996111,-0.567695288,-0.557574896,-0.155394928,-0.266269779,0.667813615,-0.56018363,-0.398903338,-0.143352533,1.394628045,-0.292381473,0.719283842,-1.293356979,1.030771908,1.491971575,1.288815361,2.489625557,0.606334925,0.414358076,0.007901584,-0.070181986,-0.552719227,0.278522012,-0.522053464,-0.051513809,0.889467914,0.135873147,0.608881637,1.49916781,-0.406579902,0.386061961,-0.960408378,-0.024655014,1.327439409,-0.378365638,-0.3740691,-0.28997912,0.861501081,0.395564648,-0.952678107
0,-1.667649933,0.738012002,-1.161841524,0.433074594,-0.50291722,0.1074284,-0.946457189,-0.425584707,0.787229035,-0.496858233,-0.239423971,-0.109793379,-0.111858526,5.103582121,0.026823211,0.091889825,-0.77156872,0.454923356,-0.466129212,-0.281756039,0.505385943,-0.825782757,-0.702906249,-0.379235964,-0.373246117,-0.145572277,-0.267626985,-0.444454078,-0.311432755,-0.33584033,-0.340135136,1.250310802,-0.244533731,-0.376224297,-0.752419369,-0.770015425,-0.267577888,-0.171129506,0.361503961,-0.051777157,-0.258810713,2.044562561,0.844122839,-0.086258631,-0.159794208,0.459505052,1.221280344,-0.340675605,-0.830206515,-0.610039403,0.032206939,0.017272336,-0.014011592,-0.058312501,-0.631653613,-0.877350886,-0.007957901,0.566866688,-0.02920739,-0.032055619,0.345204831,-0.541314147,-0.119793918,-0.53513159,-0.274166844,-0.636096991,0.435961675,-0.162067406,0.406396624,-0.136379488,0.195840086,0.755194748,-0.230737107,-0.760603298,1.26081866,-0.267429168,0.301940584,-0.147622568,-0.199876055,1.142229043,-0.723443254,0.122784607,0.679023289,-0.188680293,0.474944635,1.067253709,0.302782159,-0.692566491,-0.38428863,0.052521652,1.431750348,-0.384629061,-0.660505396,-0.339866332,-0.404238066,-0.634659261,0.340333219,0.196060723,-0.313719012,-0.242752332,-0.064415663,0.268795691,0.500720841,-0.054968908,-0.996378805,2.228906956,-0.11927738,-0.123572033,-1.783326024,0.098338622,-0.185335898,-0.166428374,-1.174556565,0.375264654,0.523785102,-0.220336084,-0.251660722,-0.797215905,-0.307583643,-0.92434511,-0.70166836,-0.353332268,-0.168463543,-0.295149135,1.121890704,-0.380615296,-0.014858926,-0.923864198,0.477813032,-0.243392446,-1.100411884,-0.875481889,1.143129084,0.294675113,-0.186885476,0.412177503,0.350232804,-0.198352466,-0.384916814,-0.067993455,-0.466419524,-0.463744574,-0.226046727,-0.584149553,-0.647094145,-0.180573205,1.934690288,-0.557430625,-0.385662258,-1.177659217,0.221527007,4.042421374,-0.534586167,-0.665100426,-0.3740691,-0.511723635,0.965515905,-0.296159653,1.07210109
1,-1.653335341,-0.307014164,3.584815618,-0.072879002,-0.294680473,0.817799363,-0.044586024,-0.428103336,0.687878607,-0.35719798,-0.21673143,0.590075037,0.580384753,0.14941191,-0.159361281,-0.438283496,-0.611934902,2.635428627,0.166057462,0.095584439,0.008728227,0.938768631,-0.629330664,-0.216473551,-0.479151979,-0.145572277,-0.26259592,0.154680164,-0.369513707,-0.218144585,-0.197770498,-0.054080028,-0.162516081,1.383453557,0.42686548,0.173136003,0.632713599,0.251724095,-0.334561853,-0.678515274,-0.252683731,-0.648408855,0.180947878,-0.141180875,-0.161781869,-0.092207771,-0.783386919,0.183625017,-0.38574357,-0.340384668,-0.030909209,0.007620473,-0.180303288,1.142430573,-0.656601522,1.327231728,0.414900517,0.414771837,0.11949949,-0.270400713,-0.563274474,0.016474574,-0.122654754,-0.810514859,0.785938158,0.408480956,0.0679287,-0.16207323,1.656260667,0.75789823,-1.221167987,-0.637010655,-0.238801881,-0.385641971,-0.395269499,0.003635119,0.824133642,-0.611819934,-0.183655025,-0.730731095,-0.72147321,0.388093203,-0.312196574,-0.188680293,-0.424613364,0.131354153,-0.327643044,-0.064135953,-0.201524366,-0.827974876,-0.82370479,-0.244083414,0.598130376,-0.33234717,-0.548732727,-0.379361879,0.835267561,-0.572685829,0.177941724,-0.178745738,-0.064415663,0.439382829,0.307284675,-0.052862077,0.422146777,0.829082822,-0.118991137,-0.123146265,-0.058462337,-0.224184241,0.545632549,-0.348190098,1.379884437,0.066381418,-0.897586165,-0.150441422,-0.564268293,-0.478927257,-0.258956188,-0.832959847,-0.305104925,1.371361777,-0.171404231,-0.292117238,0.415020407,-0.465112971,-0.46921379,1.40222972,0.880234637,-0.218858834,-0.644834708,0.354653299,2.396670859,-0.240447721,0.056299266,0.154987682,-0.280033028,-0.02465036,1.021962066,-0.070181986,-0.538587182,0.58075887,-0.403371727,-0.023506104,0.673713279,-0.379527937,-0.338013318,-0.158361096,-0.414321415,-0.212641326,-0.256109373,-0.030432591,-1.131931043,2.074179652,0.932031369,-0.153234423,-0.345667414,1.236331409,-0.309779002
0,-1.639020749,-0.896633163,1.383475689,-0.770204723,0.024801885,0.56924588,1.233515554,2.981179497,-0.412187917,-0.14828603,-0.221226755,0.143101986,0.230234114,0.220869276,0.21780076,-0.47239554,0.874981922,0.136361044,-0.155154354,0.169009458,0.946083811,-0.203916006,0.217912812,-0.330995069,-0.479151979,0.200660625,-0.261853955,-0.450481073,0.990040801,1.894138838,-0.198482575,-0.136840368,-0.282209044,-0.363870861,0.648190901,-0.197815234,0.398594312,-0.479793413,-0.051974221,-0.354320909,-0.260321959,1.536527594,0.304979368,-0.270016201,-0.036201776,-0.0850212,0.325528773,-1.341469585,-1.127796886,-0.041635241,0.637674375,0.865595766,0.784899667,-0.279336591,-0.715166251,-0.026752131,-0.213449715,-0.236441269,-0.348998834,0.744219511,0.278971952,-0.11611726,-0.115529622,0.69636148,-0.259559391,0.334172443,-0.206569532,-0.168373361,-1.412137311,2.779447412,1.161320225,0.190845015,-0.118613608,-0.238324188,0.906475604,-0.025975838,0.007693648,-0.578606273,-0.22744034,-0.275586797,-0.695641506,4.419234969,-0.312196574,-0.188680293,-0.740241888,-0.704769903,-0.084905969,0.494103577,-0.244257684,1.8094364,1.113058984,-0.251984032,-0.660505396,-0.46756948,-0.008906817,1.86211085,-0.355903833,0.071777105,-0.716816144,-0.206035877,-0.064415663,-0.704770171,-0.071304724,-0.026990055,-1.113087439,-1.037396935,-0.11927738,-0.124185178,0.630855349,1.434973263,-0.414423897,0.017195164,0.556512302,-0.327595547,1.112007469,-0.241149673,0.61888181,-0.813120489,-0.196002051,1.455835984,-0.536596994,0.583903358,-0.17471288,-0.314187363,0.357477517,2.603350718,-0.915800778,0.38304901,-0.038862945,0.129964697,1.174032503,-1.091381882,0.033726642,0.883134395,0.633994532,-1.002897452,0.175193773,1.186148268,-0.324390421,-0.070181986,-0.52748756,-1.043759853,-0.438021867,2.73465701,-0.136781103,-0.100091577,-0.458953308,-1.277543297,0.007019848,-1.027698391,0.335741784,0.524054077,2.101901926,-0.647736225,-0.3740691,-0.316639058,-0.519567517,-0.509642714,-0.441484931
1,-1.624706158,-1.004800275,2.423807948,-0.391983265,0.040749152,1.174132305,0.0764973,-0.480178921,0.278924018,-0.317302945,-0.170453414,0.168943845,-0.257267711,-0.270902708,-0.121691047,-0.448801422,0.158947107,0.003422783,-0.562153552,0.228851021,-0.425889498,-0.425841299,0.703073181,-0.412972742,-0.479151979,-0.145572277,-0.260912816,0.379206131,-0.064196135,-0.041280968,-0.200259246,-0.119292642,-0.282209044,-0.251632508,0.462849538,0.000208666,0.274191964,-0.599873979,1.541793953,0.314399159,-0.260752453,-0.491101146,-0.256933959,-0.10787349,-0.161781869,-0.583024341,0.413664372,-0.850002655,1.338905014,-0.51423487,-0.427857559,-0.154504428,-0.233522516,1.434728566,1.288694048,0.71689618,0.067796349,-1.234604464,-0.245120813,0.489488457,-0.593804442,-0.519781385,-0.122449654,-0.770116003,0.340345966,-0.879061338,0.001221097,-0.171923808,1.559603358,-0.403290794,0.165440929,-0.470658421,1.890683582,5.213907727,-0.248421608,0.030296038,2.000929944,-0.774287569,-0.21770243,-0.598395223,-0.735779424,0.355063886,-0.078744472,-0.188680293,-0.728075872,-0.621184779,0.653026934,-0.053045639,0.462456154,1.99742106,0.16294765,4.09048913,-0.380583178,-0.287109607,1.302178088,0.813393263,1.9750076,0.009191988,0.583646245,-0.232076105,-0.064415663,-0.159183529,-0.326849615,-0.095531745,-0.747965188,0.515913868,-0.116699375,-0.121412704,-0.05234304,-0.414221118,-0.037058532,-0.539120939,1.402167888,-0.569554894,-0.665275066,-0.258944854,-0.483911144,0.005114212,0.741389113,-1.043492401,-0.486024699,0.245883292,-0.17471288,-0.28424299,-0.47440449,3.563050087,0.499435401,0.082546022,0.852967245,2.459760272,-0.120610989,-0.116017496,0.415267787,0.090149123,0.971351531,0.193575322,0.239351606,0.861632996,1.000532367,-0.070181986,-0.610488195,0.962890189,-0.501570623,-0.270100636,0.107932613,-0.312599104,0.160098513,3.232395687,-0.480987055,-1.038759367,-0.213605343,0.52423732,0.452195678,-0.524290887,-0.3740691,0.107082242,0.261747643,-0.199193094,0.143131358
0,-1.610391566,-0.587719761,-0.733464618,2.803841916,-0.736043844,-0.996579229,0.049323989,-0.560213471,-0.38226709,-0.45807173,-0.240984054,-0.712189529,-0.660749138,-0.768975221,-0.566799666,-0.359934533,-1.46728898,-0.521152811,-0.189733873,-0.533326079,-0.550194671,-1.177444123,-0.108761501,-0.382107638,-0.479151979,-0.145572277,-0.267626985,-0.687484693,-0.434883172,-0.535839897,-0.492549352,-0.512626939,-0.006449864,1.387356327,-0.552038489,-0.844038644,0.92519634,2.664671434,-0.490744781,-0.020093102,-0.254379068,1.084701174,-0.360052213,-0.497027962,-0.161781869,2.183618884,-1.241963134,2.495142262,-0.309364484,-0.591453621,-0.31080527,-0.406810919,-0.361084821,0.934663867,-0.328450841,-1.062045909,0.433543305,-0.094313677,-0.488519472,-1.278557879,-0.607704189,-0.833876604,-0.12326783,-1.131219418,-0.47688914,-0.841551439,0.229131288,-0.144848387,0.015630214,1.042885086,-1.60517249,-0.47839318,-0.242207573,-0.954167379,-0.1751956,0.002736947,-0.841796363,-1.147455203,-0.050901019,-0.388024341,-0.741697894,-0.61185363,-0.312196574,-0.188680293,0.084256311,-1.043387566,-0.020894878,-0.394134221,-0.452270661,-0.975898967,-1.116026745,-0.462274282,0.064401871,-0.46756948,-0.602630515,-2.682488527,-1.654365208,-0.556910847,-0.107425443,0.019920092,-0.064415663,-0.217548644,0.074447188,-0.13902071,1.033940359,-0.785172798,-0.11927738,-0.118799668,-0.279681344,-0.793557271,0.682098779,-0.38547949,-0.711802493,-0.586649773,-0.585428348,1.703810574,-0.572848294,1.011938838,-0.307583643,2.164690684,-0.580082812,-0.734505147,1.775044433,-0.291315668,-1.425760909,-0.395900153,0.701131478,-0.730302147,1.438723036,-0.892276385,2.73872507,2.363024168,-0.84149172,-0.151685686,-0.864127665,1.024162737,-0.981810671,-0.480738429,-0.557882627,-0.066177499,1.832810368,0.268282487,-0.16879125,-0.555334696,-0.182888857,-0.452005051,-0.164646608,-0.651650549,0.251456954,-2.238901206,-1.455656076,0.15594757,-1.192982742,2.64027668,-0.3740691,-0.503515325,0.56709054,-0.377473551,0.061466977
1,-1.596076974,-0.373386033,-0.697498859,-1.0109474,-0.468746173,-0.525511097,0.117511925,0.575644603,0.666876902,1.017061091,-0.177183148,-0.600783168,-0.665411149,-0.679193954,-0.695244788,-0.464453684,-0.426758063,-0.427811037,0.20430047,-0.471953574,-0.426987302,0.950507851,-0.508393215,2.587495371,2.976820494,0.652669183,-0.234354142,-0.044714558,-0.132301261,-0.3957762,-0.382056524,-0.512626939,-0.229439494,-0.339827546,0.188321431,-0.368471192,-0.814905285,-1.319654546,-0.401742232,-0.581838306,-0.257002718,1.651089613,-0.360052213,-0.468620561,-0.161781869,-0.664963883,0.310495542,0.017085443,-0.611149087,-0.29659135,0.500032386,-0.175599428,-0.318711324,-0.717007992,-0.980875186,-0.835437237,0.062244069,-1.033604838,0.154774658,2.060739692,-0.577859148,0.082633446,-0.118402316,0.225547714,-0.460186731,0.47092777,-0.447529781,-0.164176531,-1.522922549,-0.650541761,2.195526832,0.623454158,-0.22542161,0.271982892,-0.498929172,0.343325151,-0.357248012,-0.395351784,-0.22744034,-0.730731095,-0.012221958,0.175667047,-0.312196574,-0.188680293,-0.814869294,-1.213006832,-0.105965843,-0.755138632,-0.363710775,-1.11234192,-0.353821226,-0.262678825,-0.660505396,1.857608588,-0.159082031,0.56753482,-0.829253096,1.381291507,0.041549647,-0.242752332,-0.064415663,-0.734343406,-0.312961735,-0.183293731,0.278314948,-1.921584557,-0.11927738,-0.124185178,-0.420987606,0.968157681,-0.738686312,-0.682032981,-0.310732988,-0.549800663,-0.31666663,-0.241820528,-0.222729418,-0.139386403,-0.157518378,-0.912506002,2.844235565,-0.629780371,-0.117819911,-0.214177818,-0.443013625,-0.56018363,0.4721828,-0.624707414,-1.037543709,-0.540479946,-0.875848595,-0.460485998,-0.429692606,-0.083678525,3.033671013,-0.840329069,-0.652452446,-0.19611621,-0.056306469,-0.070181986,-0.555508441,-1.071388533,0.033944347,0.696305904,-0.843512363,1.383745857,-0.115168685,0.711400131,-0.176139606,0.634101927,-0.794394303,-0.267958567,-0.422119276,-1.162509263,-0.3740691,0.232261079,-0.634269054,-0.404387387,1.044948069
